cid,url,catalog_year,course_id,title,credits,attempts,department,Description,Prerequisite,Corequisite,Notes,Schedule_Type,hours_of_lect_perweek,hours_of_lab_perweek,Grading,when_offer,related_topics
CS101,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302776,2016-2017,"CS 101","Preview of Computer Science",2,"Limited to 2 Attempts","Computer Science","Offers a broad overview of computer science designed to provide students with an introduction to the field of computer science and an orientation to the Computer Science department and the computing environment at the university. Includes a project to introduce problem solving using computers.Prerequisite(s) enforced by registration system.",None,"CS 112.","All computer science majors are required to take this course within their first year.",LEC,2,0,"Satisfactory/No Credit","See GMU Catalog","student, includ, system, applic, comput, studi, design, cover, practic, topic,comput, program, student, languag, data, algorithm, scienc, engin, requir, scientif, field, intend, fundament, disciplin, write, work, visual, graphic, mathemat, project, area, concept, basic, introduct, organ, scientist, term, offer,program, problem, techniqu, solv, structur, emphasi,scienc, inform, physic, rang, social, learn, experi, credit, appli,design, implement, tool, principl, internet, model, technolog, issu, understand, discuss, base, focu, relat, major, object, develop, orient, softwar, java,topic, undergradu, level,algorithm, analysi,system,softwar, manag, process, test, graduat, prepar, complet, time, conduct, research, paper, current, interest, special, assum, idea,techniqu, complex, meet, familiar, restrict, usag, fit, colleg, extra, school, specif, underli, commun, provid, skill, futur, simul,includ, method, introduc, biologi, class, note, repudi, gpgpu, opencl, explor, opportun, hand, cours, broad, theoret, put, appropri, present, foundat, tradit, year, exploit, theori, german, mechan, success, person, gener, product, subject, implic, incorpor, essenti, advanc,introduct, univers, util, chemistri, corequisit, astronom, pursu, licens, attempt, team, fun, nineteenth, volum, effect, cognit, conjunct, primarili, tegra, assort, formal, industri, aspect, divison, black, smale, librari, driven, perform, high, depart, overse, jointli, degre, stem, background, garageband, steganographi, complic, manner, rel, fedora, greater, prescript, decai, coli, import, arisen, limit, biofilm, roughli, conwai, similar, common"
CS105,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302777,2016-2017,"CS 105","Computer Ethics and Society",1,"Limited to 2 Attempts","Computer Science","Intensive introduction to legal, social, and ethical issues surrounding software development and computer use. Stresses professional conduct, social responsibility, and rigorous standards for software testing and reliability. Examines issues such as liability, ownership of information, and computer crime.Fulfills Mason Core requirement in  information technology (ethics only).",None,None,None,LEC,1,0,Traditional,"See GMU Catalog","comput, program, system, includ, design, student, languag, data, topic, algorithm, technolog, issu, ethic, discuss, social, examin, relat, technic, natur,requir, mason, fulfil, intens, core, softwar, talk, speaker, distinguish,ethic, comput, profession, legal, impact, privaci, properti,softwar, develop, engin, test, requir, project, team, manag, specif, sourc, context, intellectu, process,major, manner, surround, respons, conduct, digit, understand, inform, base, focu, moral, focus, introduct, reliabl, code, copyright, major, literaci,mason, candid, colloquia, attend, role, model, acm, law, trend, problem, internet,student, learn, skill, class, effect, write, appli,legal, regul, philosoph, practic, techniqu, scenario, version, creation, applic, histori,inform, primari, stress, feasibl, emerg, intend, investig, cycl, valid, methodolog, cost, mainten, phd, satisfi, area, crime,technolog, polici, decis, truth, disast, pseudocod, widespread,project, teach,issu, make, informat, leader, faculti, contemporari, liabil,fulfil, rigor, big,examin, wai, school, challeng, polit, quick, frontier, differ, societi, conflict, spirit, china, ownership, tool,social, risk"
CS112,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302778,2016-2017,"CS 112","Introduction to Computer Programming",4,"Limited to 2 Attempts","Computer Science","Rigorous introduction to problem solving through development of computer programs. Focuses on identifying algorithmic patterns in problems, describing problem solutions in high-level pseudocode, then implementing in a procedural programming language. Basic programming concepts are covered in detail including expressions, control structures, simple data types, and input/output. Program testing and debugging are discussed to verify that problems are solved correctly.Fulfills Mason Core requirement in information technology (all except ethics).","C or better in MATH 104 or MATH 105 or specified score on math placement test, or MATH 113 with a C or better.",None,"","LAB, LEC",3,1,"Undergraduate Special","See GMU Catalog","student, includ, system, applic, comput, studi, design, cover, practic, topic,comput, program, student, languag, data, algorithm,problem, solv, solut, world, real, simpl, structur, requir, appli, semest, identifi,program, test, write, model, principl, express,algorithm, problem, focus, implement, pattern, introduct, techniqu, engin, develop, analyz, control, level, fundament, build, high,includ, analysi, method, emphasi, issu, technolog, ethic, social, discuss, relat, inform, technic,ethic, profession, impact, privaci, properti, intellectu, object, function, orient, type, concept, abstract, scienc, basic, approach, natur, relev, formul, teach, role, legal, list, environ, arrai, tree,design, project, respons, larger, reli, telnet, perceiv, debug, difficult, select, exercis, sequenc, tool, skill, goal, java, work,system, specif,object, softwar, represent, inherit, class, explor, varieti, polymorph, procedur, scope, verifi, set, systemat, construct, util, condit, loop, particip, describ, low, programm, strategi, numer, elementari, process, investig, area, featur, core, fulfil, intens, major,implement, understand, common, perform, evalu, learn, effect, complex, insight,level, defin,structur, handl, recurs, standard,languag, compil, time,techniqu"
CS211,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302780,2016-2017,"CS 211","Object-Oriented Programming",3,"Limited to 2 Attempts","Computer Science","Thorough treatment of programming according to object-oriented principles. Introduces classes, interfaces, inheritance, polymorphism, and single dispatch as means to decompose problems. Covers intermediate programming techniques including error handling through exceptions, arrangement of source code into packages, and simple data structures. Intermediate debugging techniques and unit testing are covered.","Grade of C or better in CS 112.",None,None,"LAB, LEC",3,1,"Undergraduate Special","See GMU Catalog","comput, program, system, includ, design, student, languag, data, topic, algorithm,program, type, function, object, implement, orient, time, dynam, evalu,code, compil, pars, analysi, optim, gener, lexic, techniqu, construct,student, studi, applic, comput, project, practic, semant, syntax, intermedi, abstract, formal, concept,object, develop, introduct, structur, test, specif,languag, write, model, cover, principl, express, softwar, java,algorithm, focus, effici, simpl, set, problem, solv,includ, method, access, event, equival, multi, introduc, issu,class, code, driven, api, pair, consist, asynchron, theori, basic, scientif, engin, inherit, polymorph, except, tabl, grammar,design,compil, interpret, class, run,data, explor, rang, list, arrai, control, teach, pattern, appli, learn, transform, manipul,problem, solut, environ, fundament,techniqu, tool, featur, interfac, modular, overload, librari, skill, assign, unit, week, provid, concurr,cover, base, depth, addit, experi, advanc, condit, review, complex, constructor, pointer, handl,system, requir, hand, understand, build, definit, symbol, malici, perform, virtual, measur, form, point, procedur, scope, taught, matlab,topic, emphasi, process,orient, standard, singl, refer, real, world,structur, recurs, major, debug, ipc, decompos,type, subtyp, closur"
CS262,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302784,2016-2017,"CS 262","Introduction to Low-Level Programming",2,"Limited to 2 Attempts","Computer Science","Introduction to the language C, as well as operating system concepts, in UNIX, to prepare students for topics in systems programming.","Grade of C or better in CS 211 or CS 222.",None,None,"LAB,",2,0,Traditional,"See GMU Catalog","system, oper, manag, distribut, includ, process, commun, memori, implement, design,comput, program, system, student, languag, data, topic, algorithm,program, develop, object, orient, softwar, concept, java, introduct, applic, level, high, exercis, requir, programm, servic, network, exampl, cooper,search, intellig, knowledg, reason, problem, represent, artifici, learn, file, hardwar, schedul,studi, techniqu, depth, base, modern, advanc, set,student, studi, comput, project, practic, concurr, abstract, specif, scienc, area, fundament, basic, field,problem, solv, structur, engin, control,project, present, team, report, select, written, final, oral, major, analysi, examin, issu, perform, cover, synchron, virtual, build, research, work, graduat, complet, parallel, type, function,topic, tool,type, compil, time, run, interpret, dynam, static, class, experi, hand, introduc,learn, appli, technolog, machin, method, broad, adapt,design, principl, low, prepar, conduct, paper,object, skill,research, read, current, discuss, secur, faculti, thesi, semest, model,includ, protect, databas, emphasi,present, technic, propos,level, organ, assembl, meet, extra, credit, gain,develop, compon, environ, call, resourc,unix, linux, user, administr, mac, configur, exam, certif, architectur, elementari, disciplin, write, scientist,languag, gener, member, approv, essenti, unix, command, script, evalu, support, interprocess, capabl, focu, shell, axess, cgi, laboratori, expect, open, featur, histori, offer, mark, parameter, appreci, addit, plan, window, remot, familar, preprocessor, filesystem, compar, recent, question, construct, kernel,introduct, foundat, agent, approach, logic, multiprogram, queu, paradigm, effici"
CS306,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302785,2016-2017,"CS 306","Synthesis of Ethics and Law for the Computing Professional",3,"Limited to 2 Attempts","Computer Science","Practical course to become effective computer professional. Examines legal and ethical issues surrounding computer technology and its use, as well as the foundation building that is necessary to deal with those challenges. Applies philosophical bases for ethical decision making to modern concerns raised by computers and technology. Addresses topics covered by CS 105 in a more intensive manner and focuses on the emerging legal and ethical issues involved in e-commerce and widespread use of the Internet.Fulfills Mason Core requirement in synthesis.Fulfills writing intensive requirement in the major.","C or higher in CS 105; (COMM 100, and ENGH 302) or (HNRS 110 and HNRS 122, 130, 131, 230 or 240); junior standing (at least 60 credit hours).","All required Mason Core courses.","Computer science majors may use this course to satisfy the Mason Core synthesis requirement, so long as they have not previously taken CS 305 for credit.",LEC,3,0,Tradition,"See GMU Catalog","student, includ, system, applic, comput, studi, design, cover, practic, topic,comput, program, student, languag, data, algorithm, technolog, issu, ethic, discuss, social, examin, relat, technic, natur,requir, mason, fulfil, intens, core, softwar, talk, speaker, distinguish,ethic, profession, legal, impact, privaci, properti, context, scienc, engin, requir, scientif, field, intend, fundament,applic, effect, special, concern, tradit, approach, gener, intellectu, project,major, manner, surround, digit,legal, major, make, philosoph, final, play, spirit, curricular,technolog, present, current, emerg, internet, understand, inform, base, focu, focus, introduct,develop, platform, build, address, modul, skill, recogn,design, principl, techniqu, tool, implement, literaci,mason, candid, colloquia, attend, role, experi, learn, introduc, unit, assign, appli, respons,cover, class, depth, addit, law, trend, prospect, big, problem, model, interest, visual, complet, write, disciplin,system,base, method, materi,data, regul,includ, develop, work,discuss,method, knowledg, scenario, version, creation,issu, offer,inform, primari, underli, idea, stress, feasibl, teach, analyz, area, oblig, consequ, restrict, hand, research, investig,skill, phd, satisfi, particip, crime, blur, era, polici, decis, truth, disast, pseudocod, widespread,project, team, process, conduct, informat, leader,fulfil, rigor, faculti, analysi,examin, wai, school, venu, challeng, polit, quick, frontier,write, test, valu, societi, live, growth, led, speak, antitrust, enter"
CS310,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302786,2016-2017,"CS 310","Data Structures",3,"Limited to 2 Attempts","Computer Science","Focuses on object-oriented programming with an emphasis on tools and techniques for developing moderate to large programs. Topics include use and implementation of linear and nonlinear data structures and the design and analysis of elementary algorithms.","Grade of C or better in CS 211 and MATH 113.","CS 105.",None,LEC,3,0,Traditional,"See GMU Catalog","comput, program, system, includ, design, student, languag, data, topic, algorithm,program, develop, object, orient, softwar, concept, java, introduct,languag, type, abstract, concurr, specif, formal,equat, problem, numer, differenti, linear, method, approxim, engin, solut, write, comput, techniqu, solv, structur, applic,problem, appli, analyz,includ, implement, principl, project, cover, basic, analysi, model,method, equat, nonlinear,design, tool, fundament,algorithm,topic,softwar, manag, test, requir, function, meet, biometr, lesser,system, learn,object, class, inherit,data, tree, search, sort, graph, queue, list,techniqu,structur, control,scale, larg, statist, extract, reduct, perform, dimension, estim, world, studi, interpol, simpl, relev, practic, process, represent, introduc,model, advanc, aspect, emphasi, algebra, construct, level, intellig, effici, focus,mine, web, classif, associ, cluster, databas, rule, approach, explor, base, rang, broad, survei, team, recurs, complex, modern, random, pattern, essenti, optim, theori, discuss,linear, elementari, vector, factor, eigenvalu, foundat, rigor, manipul, framework, arrai, flow, logic, featur, handl, number, theoret, encod, exist, util, uml, compil, time, consid, attribut, dimens, central, titl"
CS321,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307250,2016-2017,"CS 321","Software Engineering",3,"Limited to 2 Attempts","Computer Science","An introduction to concepts, methods, and tools for the creation of large-scale software systems. Methods, tools, notations, and validation techniques to analyze, specify, prototype, and maintain software requirements. Introduction to object-oriented requirements modeling, including use of case modeling, static modeling, and dynamic modeling using the Unified Modeling Language (UML) notation. Concepts and methods for the design of large-scale software systems. Fundamental design concepts and design notations are introduced. A study of object-oriented analysis and design modeling using the UML notation. Students participate in a group project on software requirements, specification, and object-oriented software design.Fulfills writing intensive requirement in the major.","Grade of C or better in CS 310 and ENGH 302. Students who have received credit for CS 421 or SWE 421 may not take CS 321.",None,"CS 321 is restricted to students in the Applied Computer Science, Computer Science, or Systems Engineering Bachelor's programs or the Computer Science or Software Engineering minors.",LEC,3,0,Traditional,"See GMU Catalog","comput, program, system, includ, design, student, languag, data, topic, algorithm,program, develop, object, orient, softwar, concept, java, introduct,softwar, engin, test, requir, project, team, manag, specif, sourc,model, structur, static, dynam, analyz, tool, relationship, properti, conceptu, abstract, formal, type, process,object, practic, write,design, principl, implement, fundament, cover, simul, perform, analysi, experiment, method,java, reason, pattern, notat, review, class, librari, techniqu, basic, model, uml, practicum, rememb, steganographi, predict, advanc, behavior, function, speech,system, studi, complex, unifi, evalu,method, learn, inherit, equival, larg, comput,languag, physic, applic,student, phd, intens, satisfi, area, version, master,simul, visual,includ,concept, select, transform, catalog, access, case, viper,project, base, introduc, emphasi, step, taught, gui, valid, mainten, cycl,techniqu,introduct, represent, strategi, gener, work, group, major, scale, methodolog, formul, entiti, axi, norm, emphas, built, modern, aspect, compet, verif, maintain"
CS330,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302788,2016-2017,"CS 330","Formal Methods and Models",3,"Limited to 2 Attempts","Computer Science","Abstract concepts that underlie much advanced work in computer science, with major emphasis on formal languages, models of computation, logic, and proof strategies.","Grade of C or better in CS 211 and MATH 125.",None,"CS 330 is restricted to students in the Applied Computer Science, Computer Science, or Systems Engineering Bachelor's programs or the Computer Science or Software Engineering minors.",LEC,3,0,Traditional,"See GMU Catalog","comput, program, system, includ, design, student, languag, data, topic, algorithm,program, develop, object, orient, softwar, concept, java, introduct,languag, type, abstract, concurr, specif, scienc, engin, requir, scientif, field, intend, fundament,function, logic, set, techniqu, proof, order, mathemat, theori, relat,logic, function, formal, structur, disciplin, applic, write, work, visual, graphic,project, team, report, final, complet, present, group, implement, time, semant, area, basic, organ, scientist, term, offer, discret, induct, emphasi, class, materi, compil,theori, number, internet, inform, model, predic, proposit, obtain, sound, reason, studi, comput, problem, solv, major,design,model, analysi, advanc, behavior, learn,object,set, graph,system, cover, interpret, undergradu, assum, idea,techniqu, principl, tool,learn, machin, represent, search, knowledg, automata, complex,includ,understand, foundat, secur, theoret, world, continu, recurs, interest, underli,algorithm, tree, sort, skill, perform, issu,automata, finit, research, meet, ture, social, rang,network, protocol, wireless, commun, tcp, wide, technolog, biologi, method, note, tempor, deduct, result, polymorph, inherit, probabl,student, project,formal, verif, autom, base, syntax, process, context, regular, free, level, familiar, year, exploit,topic, compon, strategi, extern, theorem, current,introduct, notat, catalog, gener, equival, paradigm, procedur, touch, haskel, scheme,specif, approach, special, essenti, survei, concentr, interconnect, adi, case, conceptu, featur, handl, broad, relationship, manner, rel, fedora, overse"
CS367,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302790,2016-2017,"CS 367","Computer Systems and Programming",3,"Limited to 2 Attempts","Computer Science","Introduces students to computer systems from a programmer's perspective. Topics include data representation, assembly and machine-level representation of high-level language programs, the memory hierarchy, linking, exceptions, interrupts, processes and signals, virtual memory, and system-level I/O. Foundation for courses on compilers; networks; operating systems; and computer architecture, where a deeper understanding of systems-level issues is required.","Grade of C or better in CS 262 or 222 and ECE 301 or 331.",None,None,LEC,3,0,Traditional,"See GMU Catalog","student, includ, system, applic, comput, studi, design, cover, practic, topic,system, oper, manag, distribut, process, commun, memori, implement,comput, program, student, languag, data, algorithm,program, level, high, exercis, introduct, requir, programm, concept, network, architectur, fundament, cours, sens, line, rate,memori, instruct, control, processor, assembl, set, perform, organ, machin, area, model,assembl, interrupt, represent, link, softwar, hardwar, embed, interfac, time, real, number, problem, techniqu,design, principl, project, analysi, examin, issu, pipelin, hierarchi, cach,represent, except, perspect, file, parallel,time, arithmet, schedul, virtual, structur, synchron, specif, low, abstract, concurr, devic, understand, build,embed, sequenc, input,hardwar, modern, characterist, map, develop, execut, advanc,includ, tool, method,level, datapath, secur, learn, experi, solv, engin, compon,perform, speed, output, thread, basic, address, interact, format, class, hand,understand, futur, foundat, primarili, wai, cpu, inform,oper, explain, result, dynam, handl, optim, linker, curricula, evalu, existenti, relianc, rsa, addit, interconnect, defend, monitor, reliabl, minicomput, resourc, servic, load, byte,instruct, translat, convent,parallel,organ, subsystem, chemistri"
CS465,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302800,2016-2017,"CS 465","Computer Systems Architecture",3,"Limited to 2 Attempts","Computer Science","Computer subsystems and instruction set architectures. Single-cycle, multiple-cycle, and pipeline architectures. Memory hierarchy, cache, and virtual memory input-output processing.","Grade of C or better in CS 367.",None,"",LEC,3,0,Traditional,"See GMU Catalog","student, includ, system, applic, comput, studi, design, cover, practic, topic,comput, program, student, languag, data, algorithm,research, discuss, paper, relat,memori, instruct, control, architectur, level, processor, assembl, set, perform, hierarchi, virtual, cpu, machin, execut, risc, pipelin, cach, hardwar, datapath, organ,cach, multiprocessor, hazard, delai, tlb, amdahl, law,pipelin, branch, cisc, cycl, subsystem, coher, introduct, memori,system, oper, manag, process, file, distribut, softwar, output, input,instruct, represent,level, arithmet,output, multiprogram, queu, disk, interrupt, map, associ, adder, full, vpn, shifter, implement, singl,addit, curricula, rule, multipl, move, growth, agreement, link, format, address, vliw, order,input, compon, tradeoff, har, devic, arm,perform, perspect, dma, teach, poll, except, inter,architectur, modern, divid, buse, multiprocess,includ, techniqu, microprogram,set, overhead, gcc, wai, latenc, gear, thread,program, high"
CS483,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302806,2016-2017,"CS 483","Analysis of Algorithms",3,"Limited to 2 Attempts","Computer Science","Analyzes computational resources for important problem types by alternative algorithms and their associated data structures, using mathematically rigorous techniques. Specific algorithms analyzed and improved.","Grade of C or better in CS 310, CS 330 and MATH 125.",None,None,LEC,3,0,Traditional,"See GMU Catalog","comput, program, system, includ, design, student, languag, data, topic, algorithm,softwar, develop, project, engin, manag, test, requir, sourc,algorithm, structur, complex, analysi, problem, analyz, studi, techniqu, scienc, scientif, field, intend, fundament, disciplin, applic, write, work,learn, skill, build, specif, list, recogn, construct,problem, solv, solut, world, real, simpl,data, manipul, basic, appli, implement, elementari, link, tool, effici, theoret, advanc, give, focus, pattern, area, concept, cover, set,program, comput, introduct, tree, search, sort, graph, queue,theori, mathemat, discret, foundat, rigor, probabl, formal, methodolog, number,student, learn, organ, teach, effect, experi, inform, class, technolog,includ, method, model,analyz, fall, random, innumer, inferenc, stack, introduc, explor, rang, case,system, oper, process, memori, file, virtual, commun, schedul,languag, object, type, orient, abstract, import, major, environ,method, dynam, arrai, control,structur, noisi, adept, reus, correctli,class, resourc, impact, improv, tamper, illus, privileg, escal, openssl,foundat, lead, emphasi, introductori, exampl, serv, represent, offer, meet, assign, activ, principl, larg, select, relev, proof, logic, function, induct, softwar, research,logic, theori, relat,modul, week, python, central, recurs, altern, stakehold, hadoop, quickli, execut, materi,organ, collect, arrang, peopl, spring, store, parallel, high, perform, symbol,techniqu, visual, need, leverag, procedur, observ, approach, extraordinari, core, identifi, grammar, evalu, datatyp, mix, match, distribut,develop, survei, strategi, influenc, integr,specif, verif, base, theorem, synchron, cycl, cost, numer, main, captur, compet, debug, equival, fulli, singl, defer, reduct, form, found, facil, descript, gener, focu, separ, length, lemma, hold, goal, ada, trace, find, kind, deliver, coher"
ECE301,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=303100,2016-2017,"ECE 301","Digital Electronics",3,"Limited to 2 Attempts","Electrical and Computer Engineering","Introduces digital systems, circuits, and computers. Topics include binary systems and codes, digital logic gates and circuits, microelectronics and integrated circuits, coding and multiplexing, multivibrators, shift registers, counters, A/D converters, and elementary computer architecture.","Grade of C or better in MATH 125 or MATH 112.",None,"Not intended for those majoring in electrical or computer engineering.","LAB, LEC",3,2,Traditional,"Fall, Spring","structur, algorithm, data, analyz, simpl, find, techniqu, kind, deliver, coher"
CS463,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307750,2016-2017,"CS 463","Comparative Programming Languages",3,"Limited to 2 Attempts","Computer Science","Key programming mechanisms described independently of particular machines or languages, including control, binding, procedural abstraction, types, and concurrency. Includes basic programming competence in several different types of programming languages, including a language that provides concurrency.Equivalent to CS 363 (2013-2014 Catalog).","C or better in CS 330 and CS 367.",None,"Students who have taken CS 363 may not receive credit for CS 463.",LEC,3,0,Traditional,"See GMU Catalog","comput, program, system, includ, design, student, languag, data, topic, algorithm,languag, object, orient, type, abstract, concurr, concept, specif,program, formal,cryptographi, cipher, cryptograph, cryptosystem, encrypt, signatur, kei, theori, protocol, implement, compil, time, run, dynam, static, machin,type, interpret, semant, check, test, write, model, cover, principl, express, function, develop, softwar, java, logic, procedur, support,includ, method, access, event, equival, multi, introduc, issu,mine, classif, search, text, cluster, associ, web, structur, problem, comput, solv, introduct, engin, level, applic, scienc,softwar, manag, techniqu, practic, requir, control, storag, distribut, select, fundament, featur, construct, build, experi, basic,topic, prerequisit, high, primit, number, contemporari, interac, add,data, analysi, visual, represent, inherit, class, scope, polymorph, pattern,compil, studi,concept, catalog, handl, swe, audio, imag, compet, experienti, gener, paradigm, master, multipl, programm, earli, prompt, coher, scholar, scalabl, rule, medic, feel, commonli, correl, process, base,control, smalltalk, elabor, effect, mechan, exampl, bind, persist, fake, simpl, optim, evalu, lisp, datatyp, collect, garbag, record, code, pars, definit, recurs, descent, syntact, assembl, concret, convers, extens, precis, flexibl, tast, adher, pseudocod, aspect, introductori, refer, guid, facil, inconclus, elementari"
CS471,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302802,2016-2017,"CS 471","Operating Systems",3,"Limited to 2 Attempts","Computer Science","Issues in multiprogramming. Covers concurrent processes and synchronization mechanisms; processor scheduling; memory, file, I/O, and deadlock management; performance of operating systems; and projects dealing with synchronization in multiprogrammed OS and virtual memory management.","C or better in CS 310 and (CS 367 or ECE 445).",None,None,LEC,3,0,Traditional,"See GMU Catalog","system, oper, manag, distribut, includ, process, commun, memori, implement, design,comput, program, system, student, languag, data, topic, algorithm, file, virtual, secur, network, hardwar, schedul, concurr, synchron,synchron, resourc, structur, storag,file, interprocess, protect, processor, call, multiprogram, comput, softwar, parallel, perform, concept, servic,program, deadlock, histor, share, develop, databas, cooper, emphasi,oper, devic, driver, amdahl,manag, applic, studi, cover, issu, techniqu, principl,design, project,output, input, queu, disk, interrupt, architectur, buse, time, compil,memori, assembl, organ, thread, machin, execut, alloc, leftov, contain, pdf,schedul, evalu, support, intern, lock, name, deal, function, instruct, set, control, arithmet, pipelin,process, lesser, integr,concurr, construct, kernel, drawn, hierachi, vliw, model, cpu"
CS475,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=302803,2016-2017,"CS 475","Concurrent and Distributed Systems",3,"Limited to 2 Attempts","Computer Science","Practical issues in designing and implementing concurrent and distributed software. Topics include concurrent programming, synchronization, multithreading, local and wide-area network protocols, distributed computation, systems integration, and techniques for expressing coarsegrained parallelism at the application level. Projects involve network programming at application level.","Grade of C or better in CS 310 and 367.",None,None,LEC,3,0,Traditional,"See GMU Catalog","parallel, program, comput, algorithm, model, memori, includ, perform, share, messag,student, system, applic, studi, design, cover, practic, topic,system, oper, manag, distribut, process, commun, implement,comput, student, languag, data,network, protocol, internet, wireless, layer, tcp, rout, mobil, switch, project, principl, base, basic,distribut, concurr, toler, fault, parallel, peer, synchron, area, architectur,program, introduct, problem, techniqu, analysi, examin, network, issu,design, tool, fundament, softwar, file, activ, resourc, replic, control, discuss, coordin, sensor, technolog, wide, local, compon, osi, level, concept, high, exercis, experi, requir, hardwar, time, embed, devic, virtual, secur, deadlock, histor, develop, solv, structur, lock, illustr, databas, eiffel, advanc,includ,languag, type, specif, abstract, formal, schedul,project, state, suit, popular, transact, engin, thread, consist, build, focu, low, understand, address,softwar, test, modern, depth, web,level, interprocess, represent, independ, procedur, survei, transport, emerg, commerc,concurr, crash, join, condit, calculi, method"
